,Unnamed: 0,Symbol,Security,GICS Sector,Market Cap,Average Volume,Return from 2017-2019 (Pre-Covid),Return from 2020-2022 (Post-Covid)
68,68,TECH,Bio-Techne,Health Care,,,110.59461767875344,50.30830281252638
69,69,BIIB,Biogen,Health Care,40056000000.0,1136087.0,3.565181645890612,-7.403191437036499
70,70,BLK,BlackRock,Financials,113936000000.0,632050.0,30.216838098937828,38.947059780943626
71,71,BK,BNY Mellon,Financials,36486000000.0,4941430.0,4.47637222677935,-9.789930075977946
72,72,BA,Boeing,Industrials,127418000000.0,5132350.0,108.82916668171718,-42.02099754354619
73,73,BKNG,Booking Holdings,Consumer Discretionary,107966000000.0,334764.0,39.06535060737606,-2.5681626162660174
74,74,BWA,BorgWarner,Consumer Discretionary,10874000000.0,2977427.0,8.771930586729335,-8.522725985661053
75,75,BXP,Boston Properties,Real Estate,9942000000.0,1706016.0,7.024276769825403,-51.135213058698675
76,76,BSX,Boston Scientific,Health Care,76428000000.0,8121851.0,107.13629420238884,1.6923086983816964
77,77,BMY,Bristol Myers Squibb,Health Care,135883000000.00002,8443456.0,8.421233184310497,12.685980685503207
78,78,AVGO,Broadcom Inc.,Information Technology,370075000000.0,3066696.0,75.81468576983713,75.1002104653921
79,79,BR,Broadridge Financial Solutions,Industrials,20037000000.0,569158.0,84.59111111264035,7.570777333044205
80,80,BRO,Brown & Brown,Financials,20195000000.0,1178382.0,74.77797429077039,43.791021596559645
81,81,BF.B,Brown–Forman,Consumer Staples,,,,
82,82,BG,Bunge Limited,Consumer Staples,15791000000.0,1286090.0,-21.56189809616974,72.25483390391335
83,83,CHRW,C.H. Robinson,Industrials,11481000000.0,1148030.0,5.496599885071216,16.63693956508758
84,84,CDNS,Cadence Design Systems,Information Technology,66224000000.0,2032112.0,175.2260991893281,128.89711982204312
85,85,CZR,Caesars Entertainment,Consumer Discretionary,12424000000.0,2913148.0,245.0877017843748,-30.96581541182051
86,86,CPT,Camden Property Trust,Real Estate,12053000000.0,720127.0,25.08610821324823,4.9038871567854505
87,87,CPB,Campbell Soup Company,Consumer Staples,13811000000.0,2617254.0,-18.729370890938306,14.762384478124352
88,88,COF,Capital One,Financials,44125000000.0,3160698.0,15.911909488760795,-10.105409735582208
89,89,CAH,Cardinal Health,Health Care,23726000000.0,2274762.0,-29.476313426431236,50.96230461662291
90,90,KMX,CarMax,Consumer Discretionary,13176000000.0,1787488.0,34.44564346664301,-30.783223207096647
91,91,CCL,Carnival,Consumer Discretionary,23353000000.0,43572048.0,-2.3166745071368,-84.30379618476775
92,92,CARR,Carrier Global,Industrials,45432000000.0,6065796.0,,243.75
93,93,CTLT,Catalent,Health Care,8579000000.000001,4824048.0,109.08083820825543,-20.392646634761025
94,94,CAT,Caterpillar Inc.,Industrials,133037000000.0,3090450.0,56.93617475793717,60.7785218514052
95,95,CBOE,Cboe Global Markets,Financials,15149000000.0,619291.0,61.848533531592665,4.820387986271934
96,96,CBRE,CBRE Group,Real Estate,27266000000.0,1839374.0,90.75000286102295,24.329559268746586
97,97,CDW,CDW,Information Technology,25410000000.0,856700.0,172.94971330702157,23.593324826542034
98,98,CE,Celanese,Materials,13474000000.0,1438116.0,54.49508911751669,-17.481842934106233
99,99,CNC,Centene Corporation,Health Care,38760000000.0,3226017.0,120.30404130617956,30.21594590713205
100,100,CNP,CenterPoint Energy,Utilities,19505000000.0,3816929.0,8.859225707480148,9.732893724250706
101,101,CDAY,Ceridian,Information Technology,10834000000.0,1440567.0,135.3287302212399,-6.254564898742449
102,102,CF,CF Industries,Materials,15413000000.0,2661574.0,47.90755756803403,76.80016471513377
103,103,CRL,Charles River Laboratories,Health Care,10563000000.0,525937.0,97.96610479704914,41.245859766519864
104,104,SCHW,Charles Schwab Corporation,Financials,120996000000.0,14109080.0,19.400750576228845,74.32999384904006
105,105,CHTR,Charter Communications,Communication Services,59397000000.0,1162811.0,66.44156657467092,-30.428180883502694
106,106,CVX,Chevron Corporation,Energy,296663000000.0,7564558.0,1.24176487143877,48.572145617427125
107,107,CMG,Chipotle Mexican Grill,Consumer Discretionary,57907000000.0,293172.0,120.53494754270336,65.1832849539764
108,108,CB,Chubb Limited,Financials,82756000000.0,1821141.0,17.00315739898927,41.546357051146366
109,109,CHD,Church & Dwight,Consumer Staples,23970000000.0,1573582.0,58.983047399143715,14.53538470610949
110,110,CI,Cigna,Health Care,86918000000.0,1641303.0,51.57194807704623,61.322361031464126
