Symbol,Name,price,dividend yield,price/earnings,book value,52 week low,52 week high,market capitalization,ebitda,price/sales,price/book,SEC Filings
NDAQ,NASDAQ OMX Group,23.36,N/A,11.22,29.355,20.9,27.34,3.948B,878.0M,1.15,0.79,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NDAQ&action=getcompany
NOV,National Oilwell Varco Inc.,77.36,0.61,14.15,44.14,47.97,87.72,32.984B,3.934B,1.93,1.74,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NOV&action=getcompany
NTAP,NetApp,32.58,N/A,20.34,11.776,27.79,46.8,11.957B,939.8M,1.89,2.73,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NTAP&action=getcompany
NFLX,NetFlix Inc.,59.9,N/A,32.98,12.393,52.81,247.85,3.326B,228.1M,0.93,4.67,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NFLX&action=getcompany
NWL,Newell Rubbermaid Co.,16.98,1.97,55.29,6.748,10.87,19.49,4.960B,903.5M,0.85,2.56,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NWL&action=getcompany
NFX,Newfield Exploration Co,32.11,N/A,7.46,31.684,25.01,56.59,4.247B,1.933B,1.64,1.02,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NFX&action=getcompany
NEM,Newmont Mining Corp. (Hldg. Co.),47.48,2.86,101.72,26.284,42.95,72.42,23.324B,5.023B,2.23,1.8,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NEM&action=getcompany
NWSA,News Corporation,23.39,0.76,17.72,11.414,14.72,24.05,56.641B,6.769B,1.67,2.07,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NWSA&action=getcompany
NEE,NextEra Energy Resources,69.8,3.32,13.5,37.345,51.33,72.22,29.508B,5.667B,1.92,1.85,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NEE&action=getcompany
NKE,NIKE Inc.,94.5,1.46,20.1,22.666,78.5,114.81,43.080B,3.435B,1.8,4.19,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NKE&action=getcompany
NI,NiSource Inc.,25.17,3.68,23.79,17.928,19.48,26.15,7.168B,1.463B,1.38,1.41,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NI&action=getcompany
NE,Noble Corp,38.39,1.47,17.96,29.71,27.33,41.71,9.689B,1.280B,3.12,1.29,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NE&action=getcompany
NBL,Noble Energy Inc,90.91,0.98,23.11,43.848,65.91,105.46,16.182B,2.864B,3.99,2.05,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NBL&action=getcompany
JWN,Nordstrom,56.13,1.82,17.23,9.986,37.28,57.75,11.676B,1.641B,1.02,5.52,http://www.sec.gov/cgi-bin/browse-edgar?CIK=JWN&action=getcompany
NSC,Norfolk Southern Corp.,74.56,2.54,12.63,30.602,57.57,78.5,23.823B,4.305B,2.07,2.41,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NSC&action=getcompany
NTRS,Northern Trust Corp.,46.22,2.47,17.62,30.727,33.2,48.31,11.117B,0,2.89,1.5,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NTRS&action=getcompany
NOC,Northrop Grumman Corp.,68.5,3,8.79,43.199,49.2,68.55,16.934B,3.681B,0.66,1.58,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NOC&action=getcompany
NU,Northeast Utilities,39.59,3.03,23.61,28.878,30.8,40.86,12.431B,1.237B,2.51,1.36,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NU&action=getcompany
NRG,NRG Energy,20.86,0.43,20.47,32.075,14.29,24.12,4.750B,1.447B,0.53,0.65,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NRG&action=getcompany
NUE,Nucor Corp.,40.76,3.58,22.54,23.77,29.82,45.75,12.961B,1.750B,0.64,1.71,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NUE&action=getcompany
NVDA,Nvidia Corporation,14.621,N/A,17.96,6.929,11.47,16.9,9.048B,788.9M,2.3,2.12,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NVDA&action=getcompany
NYX,NYSE Euronext,24.91,4.8,12.34,25.206,21.8,31.25,6.277B,1.059B,1.61,0.99,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NYX&action=getcompany
ORLY,O'Reilly Automotive,84.62,N/A,19.59,21.413,58.01,107.13,10.325B,1.110B,1.72,3.97,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ORLY&action=getcompany
OXY,Occidental Petroleum,91.4,2.21,11.69,47.773,66.36,106.68,74.025B,13.842B,3.04,1.89,http://www.sec.gov/cgi-bin/browse-edgar?CIK=OXY&action=getcompany
OMC,Omnicom Group,51.93,2.13,15.1,12.311,35.27,52.19,13.794B,2.116B,0.97,4.19,http://www.sec.gov/cgi-bin/browse-edgar?CIK=OMC&action=getcompany
OKE,ONEOK,44.75,2.73,26.42,10.191,31.215,46.07,9.176B,1.506B,0.68,4.38,http://www.sec.gov/cgi-bin/browse-edgar?CIK=OKE&action=getcompany
ORCL,Oracle Corp.,31.61,0.77,16.01,8.907,24.72,33.81,154.3B,16.050B,4.13,3.52,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ORCL&action=getcompany
OI,Owens-Illinois Inc,18.46,N/A,N/A,6.676,13.43,25.46,3.047B,1.222B,0.43,2.78,http://www.sec.gov/cgi-bin/browse-edgar?CIK=OI&action=getcompany
PCAR,PACCAR Inc.,41.34,1.81,11.89,16.159,31.57,48.22,14.614B,2.451B,0.79,2.53,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PCAR&action=getcompany
PLL,Pall Corp.,55.16,1.47,19.58,14.318,39.81,64.55,6.410B,654.8M,2.2,3.83,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PLL&action=getcompany
PH,Parker-Hannifin,83.47,1.88,11.02,32.541,59.26,91.47,12.560B,1.990B,0.94,2.52,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PH&action=getcompany
PDCO,Patterson Companies,35.37,1.51,17.96,12.99,26.19,35.66,3.744B,400.2M,1.03,2.66,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PDCO&action=getcompany
PAYX,Paychex Inc.,33.18,3.89,21.8,4.425,25.12,33.4,12.036B,951.7M,5.36,7.44,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PAYX&action=getcompany
BTU,Peabody Energy,23.23,1.48,7.15,21.755,18.78,50.24,6.267B,2.060B,0.75,1.06,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BTU&action=getcompany
JCP,Penney (J.C.),23.4,2.71,N/A,18.022,19.06,43.18,5.115B,686.0M,0.29,1.23,http://www.sec.gov/cgi-bin/browse-edgar?CIK=JCP&action=getcompany
PBCT,People's United Bank,11.94,5.32,19.07,15.122,10.5,13.79,4.064B,0,3.39,0.79,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PBCT&action=getcompany
POM,Pepco Holdings Inc.,19.69,5.54,16.95,19.129,17.77,20.64,4.495B,1.019B,0.8,1.02,http://www.sec.gov/cgi-bin/browse-edgar?CIK=POM&action=getcompany
PEP,PepsiCo Inc.,72.13,2.89,18.97,13.207,58.5,72.95,112.3B,12.709B,1.69,5.46,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PEP&action=getcompany
PKI,PerkinElmer,27.82,1,345.19,16.455,17.45,28.24,3.188B,260.5M,1.58,1.7,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PKI&action=getcompany
PRGO,Perrigo,115.5,0.27,29.14,18.959,80.14,119.29,10.790B,695.3M,3.53,6.07,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PRGO&action=getcompany
PFE,Pfizer Inc.,23.94,3.6,17.85,11.113,17.05,24.49,179.3B,28.366B,2.76,2.15,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PFE&action=getcompany
PCG,PG&E Corp.,45.24,4.01,21.01,30.338,36.84,47.03,18.729B,4.104B,1.25,1.5,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PCG&action=getcompany
PM,Philip Morris International,92.21,3.37,18.17,-0.803,60.45,93.15,156.8B,14.687B,4.92,N/A,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PM&action=getcompany
PSX,Phillips 66,40,0.5,5.32,39.842,28.75,40.83,25.011B,3.469B,0.14,1.01,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PSX&action=getcompany
PNW,Pinnacle West Capital,53.42,3.94,15.37,34.207,40.7,54.66,5.852B,1.301B,1.78,1.56,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PNW&action=getcompany
PXD,Pioneer Natural Resources,98.29,0.08,32.36,46.794,58.63,119.19,12.092B,2.296B,4.6,2.13,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PXD&action=getcompany
PBI,Pitney-Bowes,13.58,10.93,4,0.402,12.64,21.2,2.725B,1.044B,0.53,34.03,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PBI&action=getcompany
PCL,Plum Creek Timber Co.,40.27,4.18,36.83,7.443,33.02,42.1,6.504B,366.0M,5.23,5.39,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PCL&action=getcompany
PNC,PNC Financial Services,60.73,2.47,12.68,70.085,42.7,67.89,32.039B,0,2.34,0.87,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PNC&action=getcompany
RL,Polo Ralph Lauren Corp.,150.16,0.67,20.82,39.401,119.41,182.48,13.921B,1.279B,2.01,3.77,http://www.sec.gov/cgi-bin/browse-edgar?CIK=RL&action=getcompany
PPG,PPG Industries,110.82,2.08,19.28,22.667,66.43,114.62,16.921B,2.241B,1.13,4.91,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PPG&action=getcompany
PPL,PPL Corp.,29.92,4.8,10.43,19.442,25.81,30.27,17.354B,4.663B,1.23,1.52,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PPL&action=getcompany
PX,Praxair Inc.,108.16,1.94,19.35,18.831,88.64,116.93,32.250B,3.480B,2.84,5.73,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PX&action=getcompany
PCP,Precision Castparts,161.61,0.07,18.42,57.558,138.39,179.47,23.484B,2.084B,3.12,2.81,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PCP&action=getcompany
PCLN,Priceline.com Inc,563.162,N/A,25.43,52.05,411.26,774.96,28.042B,1.547B,6.11,10.8,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PCLN&action=getcompany
PFG,Principal Financial Group,26.23,4.06,12.15,31.876,20.48,29.96,7.741B,1.180B,0.92,0.82,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PFG&action=getcompany
PG,Procter & Gamble,66.77,3.26,18.23,22.75,59.07,67.95,187.9B,18.072B,2.24,2.93,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PG&action=getcompany
PGR,Progressive Corp.,19.75,2.06,15.53,10.319,16.88,23.41,12.032B,1.360B,0.76,1.92,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PGR&action=getcompany
PLD,ProLogis,33.2,3.37,74.89,28.021,21.74,36.62,15.266B,1.298B,7.44,1.19,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PLD&action=getcompany
PRU,Prudential Financial,53.89,2.7,7.56,81.224,42.45,65.17,25.226B,6.081B,0.48,0.66,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PRU&action=getcompany
PEG,Public Serv. Enterprise Inc.,32.8,4.29,12.16,21.039,28.92,35.48,16.595B,3.653B,1.61,1.55,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PEG&action=getcompany
PSA,Public Storage,144.56,2.85,45.54,29.701,103.42,152.68,24.654B,1.248B,13.24,4.84,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PSA&action=getcompany
PHM,Pulte Homes Inc.,12.48,N/A,N/A,5.147,3.29,12.92,4.789B,149.0M,1.12,2.46,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PHM&action=getcompany
QEP,QEP Resources,27.95,0.28,19.57,18.863,23.56,38.44,4.989B,1.566B,1.77,1.49,http://www.sec.gov/cgi-bin/browse-edgar?CIK=QEP&action=getcompany
PWR,Quanta Services Inc.,24.78,N/A,22.87,16.604,16,25.07,5.278B,533.0M,0.92,1.48,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PWR&action=getcompany
QCOM,QUALCOMM Inc.,61.982,1.44,18.27,19.033,45.98,68.87,105.6B,6.716B,5.75,3.26,http://www.sec.gov/cgi-bin/browse-edgar?CIK=QCOM&action=getcompany
DGX,Quest Diagnostics,59.47,1.02,13.72,25.239,45.13,63.98,9.441B,1.647B,1.24,2.37,http://www.sec.gov/cgi-bin/browse-edgar?CIK=DGX&action=getcompany
RRC,Range Resources Corp.,66.13,0.24,234.54,15.228,52.21,77.24,10.495B,790.7M,8.37,4.34,http://www.sec.gov/cgi-bin/browse-edgar?CIK=RRC&action=getcompany
RTN,Raytheon Co.,56.11,3.32,9.92,26.019,38.35,56.92,18.630B,3.471B,0.76,2.15,http://www.sec.gov/cgi-bin/browse-edgar?CIK=RTN&action=getcompany
RHT,Red Hat Inc.,57.04,N/A,75.1,7.34,31.77,62.75,11.010B,261.8M,9.44,7.88,http://www.sec.gov/cgi-bin/browse-edgar?CIK=RHT&action=getcompany
RF,Regions Financial Corp.,7,0.57,N/A,10.23,2.82,7.17,9.891B,0,2.26,0.68,http://www.sec.gov/cgi-bin/browse-edgar?CIK=RF&action=getcompany
RSG,Republic Services Inc,28.84,3.06,15.84,21.025,25.15,31.32,10.535B,2.431B,1.28,1.37,http://www.sec.gov/cgi-bin/browse-edgar?CIK=RSG&action=getcompany
RAI,Reynolds American Inc.,46.01,4.94,18.68,10.418,33.83,46.93,26.016B,2.895B,3.06,4.36,http://www.sec.gov/cgi-bin/browse-edgar?CIK=RAI&action=getcompany
RHI,Robert Half International,28.26,2.06,22.07,5.852,19.69,32.32,3.916B,346.1M,0.98,4.81,http://www.sec.gov/cgi-bin/browse-edgar?CIK=RHI&action=getcompany
ROK,Rockwell Automation Inc.,71.01,2.46,13.79,13.397,50.36,84.71,10.190B,1.159B,1.63,5.3,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ROK&action=getcompany
COL,Rockwell Collins,49.95,2.15,11.91,8.958,44.31,61.46,7.100B,1.031B,1.5,5.62,http://www.sec.gov/cgi-bin/browse-edgar?CIK=COL&action=getcompany
ROP,Roper Industries,104.76,0.5,22.64,35.03,64.9,108.89,10.210B,845.9M,3.51,2.97,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ROP&action=getcompany
ROST,Ross Stores Inc.,67.16,0.74,22.25,7.14,33.5,70.04,15.150B,1.282B,1.72,9.49,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ROST&action=getcompany
RDC,Rowan Cos.,35.72,N/A,13.18,35.954,28.13,39.4,4.411B,437.9M,3.69,0.99,http://www.sec.gov/cgi-bin/browse-edgar?CIK=RDC&action=getcompany
R,Ryder System,40.83,2.86,11.25,27.08,32.76,57.63,2.087B,1.328B,0.33,1.5,http://www.sec.gov/cgi-bin/browse-edgar?CIK=R&action=getcompany
SWY,Safeway Inc.,15.99,3.74,8.91,10.797,14.73,23.16,3.830B,2.269B,0.09,1.51,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SWY&action=getcompany
SAI,SAIC,12.08,2,86.33,6.626,10.31,15.18,4.126B,421.0M,0.38,1.81,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SAI&action=getcompany
CRM,Salesforce.com,139.84,N/A,N/A,13.114,94.09,164.75,19.298B,105.9M,7.74,10.5,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CRM&action=getcompany
SNDK,SanDisk Corporation,41.4,N/A,15.89,29.065,30.99,53.46,10.030B,1.333B,1.93,1.43,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SNDK&action=getcompany
SCG,SCANA Corp,48.96,4.03,16.16,30.498,37.43,50.34,6.404B,1.249B,1.54,1.59,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SCG&action=getcompany
SLB,Schlumberger Ltd.,75.35,1.41,18.47,24.724,54.79,81.33,99.992B,10.869B,2.3,3.01,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SLB&action=getcompany
SNI,Scripps Networks Interactive Inc.,59.94,0.74,19.12,9.889,35.44,59.43,8.929B,1.006B,4.04,6.01,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SNI&action=getcompany
STX,Seagate Technology,34.18,2.08,5.05,8.509,9.05,33.42,14.048B,3.926B,0.9,3.85,http://www.sec.gov/cgi-bin/browse-edgar?CIK=STX&action=getcompany
SEE,Sealed Air Corp.(New),13.99,3.71,583.75,14.864,11.51,21.5,2.700B,913.3M,0.37,0.94,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SEE&action=getcompany
SHLD,Sears Holdings Corporation,51.42,N/A,N/A,42.585,28.89,85.9,5.473B,394.0M,0.13,1.19,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SHLD&action=getcompany
SRE,Sempra Energy,69.03,3.14,18.71,40.968,47.51,72.32,16.646B,2.735B,1.72,1.68,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SRE&action=getcompany
SHW,Sherwin-Williams,141.44,1.07,28.4,15.173,69.47,142.29,14.349B,1.071B,1.55,9.3,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SHW&action=getcompany
SIAL,Sigma-Aldrich,72.07,1.05,19.31,19.493,57.6,74.94,8.703B,792.0M,3.41,3.71,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SIAL&action=getcompany
SPG,Simon Property Group Inc,157.7,2.32,31.12,19.452,103.32,163.75,47.835B,3.219B,10.45,8.07,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SPG&action=getcompany
SLM,SLM Corporation,16.12,2.81,9.5,9.289,10.91,16.89,7.576B,0,3.52,1.72,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SLM&action=getcompany
SJM,Smucker (J.M.),76.7,2.55,18.94,46.819,66.43,81.97,8.471B,1.122B,1.54,1.64,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SJM&action=getcompany
SNA,Snap-On Inc.,68.64,1.96,13.84,28.084,41.74,70.85,3.992B,577.7M,1.3,2.43,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SNA&action=getcompany
SO,Southern Co.,46.92,4.11,18.86,20.374,38.99,48.59,40.759B,6.226B,2.4,2.3,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SO&action=getcompany
LUV,Southwest Airlines,9.07,0.28,20.83,9.205,7.15,10.05,6.740B,1.722B,0.39,0.98,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LUV&action=getcompany
SWN,Southwestern Energy,32.04,N/A,N/A,10.098,25.63,44.36,11.155B,1.668B,4.13,3.25,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SWN&action=getcompany
SE,Spectra Energy Corp.,29.29,3.87,17.48,14.009,23.17,32.27,19.126B,2.415B,3.63,2.07,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SE&action=getcompany
S,Sprint Nextel Corp.,4.92,N/A,N/A,3.077,2.1,4.96,14.762B,4.908B,0.42,1.56,http://www.sec.gov/cgi-bin/browse-edgar?CIK=S&action=getcompany
STJ,St Jude Medical,38.43,2.26,15.42,14.369,32.13,46.26,12.113B,1.649B,2.19,2.71,http://www.sec.gov/cgi-bin/browse-edgar?CIK=STJ&action=getcompany
SWK,Stanley Black & Decker,68.39,2.42,19.18,40.709,47.07,81.9,11.498B,1.590B,1.05,1.66,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SWK&action=getcompany
SPLS,Staples Inc.,13.41,3.16,9.55,10.27,12.1,16.93,9.242B,2.103B,0.37,1.3,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SPLS&action=getcompany
SBUX,Starbucks Corp.,45.57,1.51,25.06,6.774,34.14,62,34.565B,2.293B,2.64,6.66,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SBUX&action=getcompany
HOT,Starwood Hotels & Resorts,54.22,0.9,18.78,16.374,35.78,60.81,10.653B,1.082B,1.75,3.39,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HOT&action=getcompany
STT,State Street Corp.,41.85,2.01,11.33,40.51,29.86,47.2,20.051B,0,2.09,1.03,http://www.sec.gov/cgi-bin/browse-edgar?CIK=STT&action=getcompany
SRCL,Stericycle Inc,89.82,N/A,30.19,16.001,75.75,94.64,7.678B,539.8M,4.24,5.57,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SRCL&action=getcompany
SYK,Stryker Corp.,53.06,1.55,14.49,20.902,43.73,57.15,20.186B,2.501B,2.36,2.53,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SYK&action=getcompany
SUN,Sunoco Inc.,47.87,1.57,N/A,8.65,28.79,50.89,5.069B,1.677B,0.11,5.53,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SUN&action=getcompany
STI,SunTrust Banks,24.83,0.81,16.59,37.797,15.79,25.18,13.258B,0,1.81,0.65,http://www.sec.gov/cgi-bin/browse-edgar?CIK=STI&action=getcompany
SYMC,Symantec Corp.,17.28,N/A,10.83,7.116,13.06,18.88,12.147B,1.788B,1.77,2.39,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SYMC&action=getcompany
SYY,Sysco Corp.,28.84,3.73,14.71,8.334,25.09,31.18,16.893B,2.345B,0.4,3.44,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SYY&action=getcompany
TROW,T. Rowe Price Group,60.93,2.13,20.55,14.417,44.68,66,15.466B,1.313B,5.49,4.23,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TROW&action=getcompany
TGT,Target Corp.,62.84,1.91,14.47,23.998,46.95,63,41.550B,7.491B,0.59,2.61,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TGT&action=getcompany
TEL,TE Connectivity Ltd.,35.25,2.15,14.39,18.08,26.58,37.69,15.080B,2.465B,1.05,1.93,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TEL&action=getcompany
TE,TECO Energy,17.94,3.67,14.4,10.706,16.15,19.41,3.845B,937.3M,1.2,1.67,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TE&action=getcompany
THC,Tenet Healthcare Corp.,5.22,N/A,58.33,2.723,3.46,6.05,2.160B,1.083B,0.23,1.93,http://www.sec.gov/cgi-bin/browse-edgar?CIK=THC&action=getcompany
TDC,Teradata Corp.,75.7,N/A,33.39,10.297,43.19,79.89,12.763B,636.0M,4.96,7.3,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TDC&action=getcompany
TER,Teradyne Inc.,15.59,N/A,10.45,9.034,10.37,18.01,2.909B,412.1M,1.82,1.71,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TER&action=getcompany
TSO,Tesoro Petroleum Co.,35.5,N/A,7.55,26.803,17.43,36.06,4.956B,1.519B,0.16,1.32,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TSO&action=getcompany
TXN,Texas Instruments,29.75,2.3,21.66,9.807,24.34,34.24,33.848B,4.212B,2.52,3.01,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TXN&action=getcompany
TXT,Textron Inc.,26.83,0.3,19.26,11.046,14.66,29.18,7.538B,1.157B,0.63,2.43,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TXT&action=getcompany
HSY,The Hershey Company,72.23,2.02,24.38,4.813,54.87,72.97,16.299B,1.388B,2.55,14.91,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HSY&action=getcompany
TRV,The Travelers Companies Inc.,63.98,2.65,11.49,64.894,45.97,65.27,24.655B,3.989B,0.96,0.98,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TRV&action=getcompany
TMO,Thermo Fisher Scientific,57.07,0.46,20.02,41.129,43.06,58.37,20.945B,2.537B,1.69,1.38,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TMO&action=getcompany
TIF,Tiffany & Co.,58.48,2.03,17.18,18.772,49.72,80.99,7.411B,890.7M,2.01,3.12,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TIF&action=getcompany
TWX,Time Warner Inc.,42.9,2.33,16.47,30.992,27.62,42.56,40.709B,6.927B,1.39,1.37,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TWX&action=getcompany
TWC,Time Warner Cable Inc.,89.43,2.34,16.3,23.871,57.15,90,27.562B,7.346B,1.34,3.73,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TWC&action=getcompany
TIE,Titanium Metals Corp,12.9,2.32,20.65,7.038,10.42,17.95,2.260B,220.3M,2.12,1.84,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TIE&action=getcompany
TJX,TJX Companies Inc.,44.46,0.93,21,4.497,25.47,45.5,32.943B,3.189B,1.4,10.01,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TJX&action=getcompany
TMK,Torchmark Corp.,50.31,1.08,9.8,38.602,32.95,52,4.953B,869.5M,1.42,1.29,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TMK&action=getcompany
TSS,Total System Services,23.67,1.56,18.76,7.367,16.34,25.06,4.475B,475.0M,2.41,3.22,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TSS&action=getcompany
TRIP,TripAdvisor,35.1,N/A,27.96,4.406,23.99,47.81,4.995B,300.7M,7.36,8.21,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TRIP&action=getcompany
TSN,Tyson Foods,16.04,1.01,11.72,16.061,14.07,21.06,5.863B,1.579B,0.17,0.98,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TSN&action=getcompany
TYC,Tyco International,56.87,1.77,20.42,31.102,37.51,57.75,26.331B,3.496B,1.48,1.82,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TYC&action=getcompany
USB,U.S. Bancorp,33.16,1.94,12.14,17.454,20.1,34.1,62.739B,0,3.53,1.89,http://www.sec.gov/cgi-bin/browse-edgar?CIK=USB&action=getcompany
UNP,Union Pacific,122.01,1.88,15.7,40.305,77.73,126.91,57.785B,8.110B,2.8,3.01,http://www.sec.gov/cgi-bin/browse-edgar?CIK=UNP&action=getcompany
UNH,United Health Group Inc.,51.9,1.35,10.54,28.003,41.32,60.75,54.443B,9.516B,0.52,1.86,http://www.sec.gov/cgi-bin/browse-edgar?CIK=UNH&action=getcompany
UPS,United Parcel Service,76.3,2.87,19.12,7.724,61.12,81.79,73.210B,8.004B,1.36,9.84,http://www.sec.gov/cgi-bin/browse-edgar?CIK=UPS&action=getcompany
X,United States Steel Corp.,23.41,0.85,N/A,24.48,17.67,32.52,3.378B,1.084B,0.17,0.96,http://www.sec.gov/cgi-bin/browse-edgar?CIK=X&action=getcompany
UTX,United Technologies,77.89,2.49,16.15,24.791,66.87,87.5,71.019B,9.664B,1.23,3.11,http://www.sec.gov/cgi-bin/browse-edgar?CIK=UTX&action=getcompany
UNM,Unum Group,19.44,2.3,26.27,29.945,18.28,25,5.444B,425.1M,0.52,0.65,http://www.sec.gov/cgi-bin/browse-edgar?CIK=UNM&action=getcompany
URBN,Urban Outfitters,30.66,N/A,25.75,7.681,21.47,31.81,4.440B,381.1M,1.77,4.02,http://www.sec.gov/cgi-bin/browse-edgar?CIK=URBN&action=getcompany
VFC,V.F. Corp.,147.33,1.87,18,41.423,104.02,156.15,16.091B,1.481B,1.57,3.6,http://www.sec.gov/cgi-bin/browse-edgar?CIK=VFC&action=getcompany
VLO,Valero Energy,29.1,1.73,9.79,28.86,16.4,29.26,16.089B,5.454B,0.12,1,http://www.sec.gov/cgi-bin/browse-edgar?CIK=VLO&action=getcompany
