Symbol,Name,price,dividend yield,price/earnings,book value,52 week low,52 week high,market capitalization,ebitda,price/sales,price/book,SEC Filings
GWW,Grainger (W.W.) Inc.,200.74,1.43,20.98,40.1,129.27,221.84,13.990B,1.289B,1.65,5.1,http://www.sec.gov/cgi-bin/browse-edgar?CIK=GWW&action=getcompany
HAL,Halliburton Co.,35.19,1.03,10.98,15.702,26.28,47.9,32.648B,6.485B,1.17,2.23,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HAL&action=getcompany
HOG,Harley-Davidson,41.36,1.34,13.69,11.652,31.5,54.32,9.465B,1.228B,1.66,3.58,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HOG&action=getcompany
HAR,Harman Int'l Industries,45.68,0.71,10.26,23.499,25.53,52.75,3.220B,391.3M,0.7,1.81,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HAR&action=getcompany
HRS,Harris Corporation,45.64,2.68,227.8,17.391,32.68,45.92,5.107B,1.260B,0.94,2.62,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HRS&action=getcompany
HIG,Hartford Financial Svc.Gp.,17.41,2.31,N/A,49.139,14.56,23.29,7.588B,1.793B,0.34,0.35,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HIG&action=getcompany
HAS,Hasbro Inc.,37.56,3.53,14.12,10.741,31.36,39.2,4.894B,737.5M,1.17,3.48,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HAS&action=getcompany
HCP,HCP Inc.,45.45,4.34,30.98,22.141,32.66,47.75,19.522B,1.480B,10.7,2.06,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HCP&action=getcompany
HCN,Health Care REIT,59.66,4.91,88.06,32.952,43.65,62.8,12.737B,1.071B,7.53,1.81,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HCN&action=getcompany
HNZ,Heinz (H.J.),55.06,3.55,19.34,8.614,48.54,55.84,17.638B,2.018B,1.52,6.4,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HNZ&action=getcompany
HP,Helmerich & Payne,49.92,0.43,9.77,33.963,35.58,68.6,5.342B,1.205B,1.73,1.44,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HP&action=getcompany
HES,Hess Corporation,49.68,0.81,13.39,58.634,39.67,67.86,16.911B,6.483B,0.45,0.85,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HES&action=getcompany
HPQ,Hewlett-Packard,19.7,2.53,7.55,20.874,17.41,34,38.845B,14.732B,0.31,0.93,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HPQ&action=getcompany
HD,Home Depot,53.06,2.11,20.03,11.748,29.79,54.28,81.217B,8.621B,1.14,4.52,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HD&action=getcompany
HON,Honeywell Int'l Inc.,59.01,2.46,20.36,15.364,41.22,62,46.061B,3.801B,1.23,3.84,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HON&action=getcompany
HRL,Hormel Foods Corp.,28.3,2.05,16.25,10.639,25.87,30.7,7.453B,814.0M,0.92,2.66,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HRL&action=getcompany
HSP,Hospira Inc.,34.15,N/A,N/A,18.025,26.92,47.12,5.639B,468.3M,1.42,1.91,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HSP&action=getcompany
HST,Host Hotels & Resorts,15.28,1.45,170.9,9.628,9.78,17.26,11.041B,1.065B,2.12,1.58,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HST&action=getcompany
HCBK,Hudson City Bancorp,6.61,4.87,N/A,9.392,5.09,7.62,3.282B,0,3.97,0.7,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HCBK&action=getcompany
HUM,Humana Inc.,67.62,1.51,8.87,52.284,59.92,96.46,10.935B,2.384B,0.28,1.28,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HUM&action=getcompany
HBAN,Huntington Bancshares,6.445,2.5,10.32,6.131,4.46,6.83,5.532B,0,2.16,1.04,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HBAN&action=getcompany
ITW,Illinois Tool Works,57.31,2.54,11.85,21.324,39.12,58.27,27.102B,3.445B,1.48,2.66,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ITW&action=getcompany
